Text	Text_cleaned
Results of providing feedback information in a field trial No S62011 Working paper sustainability	result of provide feedback information field trial no work paper sustainability
design and the use of new materials Research shows that most circular economy	design use of new material research show most circular
sustainability option considered to be more environmentallyfriendly and efficient in terms of	sustainability option consider to more environmentallyfriendly efficient term of
organizational success posed from different stakeholders such as sustainability impact and	organizational success pose from different stakeholder such as sustainability impact
Geissdoerfer M Savaget P Bocken N M  Hultink E J 2017 The Circular EconomyA new	geissdoerfer m savaget p bocken n m hultink e j circular economya new
redesign for the Circular Economy  a literature review and a multiple case	redesign for circular literature review multiple case
Sustainabilitys matter is also presented in other clusters in the red one and to a marginal extent in the	sustainability matter also present other cluster red one to marginal extent
b What drives the development of sustainability aspects in BMs during the early	b what drive development of sustainability aspect bms during early
provide solutions for sustainability matters Further new technologies show major influence	provide solution for sustainability matter new technology show major influence
towards business model innovation for sustainability BMIfS can be a powerful force for action	towards business model innovation for sustainability bmif powerful force for action
Zink T  Geyer R 2017 Circular Economy Rebound Journal of Industrial Ecology 213 593602	zink t geyer r circular rebound journal of industrial ecology
business model archetypes Journal of Cleaner Production Volume 65 15 February 2014 Pages 42	business model archetype journal of clean production volume february page
that that major sustainability issues cannot be solved by businesses alone	major sustainability issue not solve business alone
McKinsey Center for Business and Environment 2016 The circular economy Moving from theory to practice	mckinsey center for business environment circular move from theory to practice
in developing business models for sustainability Journal of Cleaner	develop business model for sustainability journal of clean
LüdekeFreund F 2009 Business Model Concepts in Corporate Sustainability Contexts From Rhetoric to a	lüdekefreund f business model concept corporate sustainability context from rhetoric to
a circular economy httpswwweeaeuropaeupublicationsconstructionanddemolitionwaste	circular httpswwweeaeuropaeupublicationsconstructionanddemolitionwaste
model holds the potential to help sustainability research embrace more	model hold potential to help sustainability research embrace more
and on sustainable business models in the circular economy He has 70 academic	sustainable business model circular have academic
Circular economy sustainability business model	circular sustainability business model
Strategically integrated corporate sustainability Cost	strategically integrate corporate sustainability cost
Kriron D Kruschwiz N Reeves M and Goh E 2013 The Benefits of SustainabilityDriven Innovation	kriron d kruschwiz n reeve m goh e benefit of sustainabilitydriven innovation
RQ1 How do business models for sustainability solution ecosystems comprise	how do business model for sustainability solution ecosystem comprise
The results are interesting in the context of the textile sector transition to a circular economy	result interesting context of textile sector transition to circular
Track 21 Datadriven Business Models for Sustainability and Digital Transformation in	track datadriven business model for sustainability digital transformation
representation of Sustainabilitys topic in VPTs is definitely a way to expand research in SBMs	representation of sustainabilitys topic vpt definitely way to expand research sbms
Bocken N et al 2016 Product design and business model strategies for a circular economy Journal of	bocken n et al product design business model strategy for circular journal of
intersection of sustainability development transparency and green supply chain management	intersection of sustainability development transparency green supply chain management
sustainability in their SBM SD can improve existing and innovate services which are more resourceful	sustainability sbm sd improve exist innovate service which more resourceful
Morseletto P 2020 Targets for a circular economy Resources Conservation and Recycling 153 104553	morseletto p target for circular resource conservation recycle
Can the blockchain be the infrastructure of the circular economy paradigm In the present paper	blockchain infrastructure of circular paradigm present paper
step at the beginning of implementing activities for improved sustainability performance In	step beginning of implement activity for improved sustainability performance
as a standalone or subfields of BM and corporate sustainability LüdekeFreund  Dembek 2017	as standalone subfield of bm corporate sustainability lüdekefreund dembek
as coffee palm oil milk and bananas And finally in some cases sustainability	as coffee palm oil milk banana finally some case sustainability
Austrian electric utilities are changing their business models Energy Sustainability and	austrian electric utility change business model energy sustainability
acceptance of circular business models Open J Bus Model Innov	acceptance of circular business model open j bus model innov
sustainability dimensions is the defining differentiating characteristic of both SE	sustainability dimension defining differentiating characteristic of both se
sustainability in business models It is still a challenge to implement the newly	sustainability business model still challenge to implement newly
From the sustainability indicators side certain studies have proposed lists of indicators based on	from sustainability indicator side certain study have propose list of indicator base
jointly organized with Circular Economy Club during the global Circular Economy	jointly organize circular club during global circular
build their entire business model around sustainability In addition studies on	build entire business model around sustainability addition study
Circular Economy The Route to Decoupling Economic Growth from Resource Consumption Journal	circular route to decouple economic growth from resource consumption journal
but systematic sustainability assessments of such operations are not available yet	systematic sustainability assessment of such operation not available yet
and sustainability Journal of Cleaner Production 220 11561166	sustainability journal of clean production
enabler of circular economy eg De Mattos and de Albuquerque 2018 Tura et al	enabler of circular eg de mattos de albuquerque tura et al
Circular economy is a new economic model that	circular new economic model
Crafting a Sustainable Business Applying the Circular Economy and Experience Economy to the	craft sustainable business apply circular experience to
Web Page Circular Economy RheinMain httpswwwmeetupcomde	web page circular rheinmain httpswwwmeetupcomde
literature the conceptual framework includes the multiple areas in which sustainability can be	literature conceptual framework multiple area which sustainability
business models for sustainability	business model for sustainability
Sustainability Insights about corporate sustainability management such as addressed	sustainability insight corporate sustainability management such as address
Business Models for Sustainability Climate Change Digital Technology Solutions Ecosystem	business model for sustainability climate change digital technology solution ecosystem
Hummel K  FestlPell D 2015 Much Ado About Nothing Sustainability Disclosure in the Banking	hummel k festlpell d much ado nothing sustainability disclosure banking
companies progress towards achieving their sustainability targets Further they can risk falling	company progress towards achieve sustainability target risk fall
economic environmental and social impacts Second in the fastevolving field of circular economy	economic environmental social impact fastevolve field of circular
Both sustainability and Management Control Systems MCS are topics that have been extensively	both sustainability management control system mcs topic have extensively
make a substantial contribution but also activities that enable other sustainability activities	make substantial contribution also activity enable other sustainability activity
seizingdesigning business model concepts for circular economy The configurator	seizingdesigne business model concept for circular configurator
concept of Circular Economy being developmentoriented improve the humanitarian aid	concept of circular developmentoriente improve humanitarian aid
2021 resources Bicen and Johnson 2015 Halme and Korpela 2014 Mezger 2014 sustainability	resource bicen johnson halme korpela mezger sustainability
eg how sustainability principles are integrated in the business models which sustainability	eg how sustainability principle integrate business model which sustainability
Sustainability Knowledge Collaboration  Learning for Sustainable Innovation R	sustainability knowledge collaboration learning for sustainable innovation r
Schaltegger S Freund FL  Hansen EG 2012 Business cases for sustainability	schaltegger s freund fl hansen eg business case for sustainability
was to experiment a new tool to try to be more effective in scaling up circular business models	to experiment new tool to try to more effective scale up circular business model
benefits and constraints experienced in sustainability implementation The firms	benefit constraint experience sustainability implementation firm
circularitysustainability ambition level or vice versa EC 2018	circularitysustainability ambition level vice versa ec
react to external variations  are a substantial guiding factor toward sustainability transactions	react to external variation substantial guide factor toward sustainability transaction
Bocken 2022 a deeper understanding of interests and values in sustainabilityoriented	bocken deep understanding of interest value sustainabilityoriente
sustainability based on Digital Climate Solutions DCS supporting and advancing climate change	sustainability base digital climate solution dcs support advance climate change
sharing economy This is the phase in which sustainability emerges the most and under different	share phase which sustainability emerge most different
sustainability and energy consumption Other selection criteria included availability of expert	sustainability energy consumption other selection criterion availability of expert
tell us about corporate sustainability The TQM Journal vol 21 no 2 pp	tell corporate sustainability tqm journal vol no pp
sustainability this paper first dresses the theoretical list of antecedents and motivations that lead	sustainability paper first dress theoretical list of antecedent motivation lead
Jonker J  Faber N 2021 Organizing for Sustainability A Guide to Developing New Business Models	jonker j faber n organizing for sustainability guide to develop new business model
Gregson N Crang M Fuller S and Holmes H 2015 Interrogating the Circular Economy	gregson n crang m full s holmes h interrogate circular
Korhonen J Nuur C Feldmann A  Birkie S E 2018 Circular economy as an	korhonen j nuur c feldmann birkie s e circular as
communicating and governing sustainability within a company Seele  Lock 2017	communicate govern sustainability within company seele lock
Barriers and Enablers Sustainability Vol 8 No 11 p 1212	barrier enablers sustainability vol no p
OECD The Circular Economy in Cities and Regions 2019 OECD Report Centre for Entrepreneurship	oecd circular city region oecd report centre for entrepreneurship
Many previous studies on corporate sustainability have focused on does it pay to	many previous study corporate sustainability have focus do pay to
Borucke et al 2012 Thus the role of sustainability as a longterm corporate	borucke et al thus role of sustainability as longterm corporate
review to develop sustainable business model archetypes Journal of cleaner	review to develop sustainable business model archetype journal of clean
reached agreement on how to communicate sustainability	reach agreement how to communicate sustainability
definitions of the circular economy concept Kirchherr and colleagues 2017 pp	definition of circular concept kirchherr colleague pp
in onderwijs en bedrijfsleven in Fryslân JIN Climate and Sustainability	onderwijs en bedrijfsleven fryslân jin climate sustainability
Ellen MacArthur Foundation EMF 2012 Towards the Circular Economy Vol 1	ellen macarthur foundation emf towards circular vol
Circular Economy and Value	circular value
performing companies regarding sustainability which is conducive in a multicase study approach	perform company regard sustainability which conducive multicase study approach
sustainability as a concept that is able to address these challenges in a comprehensive and	sustainability as concept able to address challenge comprehensive
Benn S Edwards M  Williams T 2014 Organizational change for corporate sustainability	benn s edwards m williams t organizational change for corporate sustainability
Hellström et al 2015 Biogas closes the cycle and creates a circular economy	hellström et al biogas close cycle create circular
review of the literature or sustainability standards or a combination of these two sources Antolín	review of literature sustainability standard combination of two source antolín
platform of the Institute of Systems Sciences Innovation and Sustainability Research ISIS	platform of institute of systems sciences innovation sustainability research isis
The need to develop an ecosystemic approach aimed at sustainability becomes even more	need to develop ecosystemic approach aim sustainability become even more
tension for sustainability Grigore et al 2020 in the context of circular economy alike as despite	tension for sustainability grigore et al context of circular alike as despite
for improving integrating and diffusing sustainability Karlsson 2019Therefore	for improve integrate diffuse sustainability karlsson
managers seeking to understand and improve the sustainability performance of their business	manager seek to understand improve sustainability performance of business
Sustainability 12 18 7577	sustainability
City of Rotterdam Making sustainability a way of life for Rotterdam Rotterdam	city of rotterdam make sustainability way of life for rotterdam rotterdam
circular economy in order to validate the preliminary conclusions of the research Five cases	circular order to validate preliminary conclusion of research five case
Albert M 2019 Sustainable frugal innovation  The connection between frugal innovation and sustainability	albert m sustainable frugal innovation connection frugal innovation sustainability
of cooperatives So new concepts for coordination of circular economy transitions need to	of cooperative new concept for coordination of circular transition need to
valorisation and vegetable waste valorisation In total 47 initiatives of circular business models	valorisation vegetable waste valorisation total initiative of circular business model
university strategic management and sustainability management document analysis of	university strategic management sustainability management document analysis of
Lacy P  Rutqvist J 2015 Waste to Wealth The Circular Economy Advantage	lacy p rutqvist j waste to wealth circular advantage
however a new and more ambitious package the Circular Economy Package including	however new more ambitious package circular package
How to Model Sustainable Business  The Business Innovation Kit and Sustainability	how to model sustainable business business innovation kit sustainability
and follow them by reorganising the BM Sustainability transitions can trigger changes in the	follow reorganise bm sustainability transition trigger change
Goyal S  Sergi B 2015 Social entrepreneurship and sustainability  Understanding the context and key	goyal s sergi b social entrepreneurship sustainability understand context key
This paper will attempt to understand how sustainability changes everyday life and how VPTs follow this	paper attempt to understand how sustainability change everyday life how vpt follow
business strategy eg Jonker and Faber 2021 to circular economy policy eg European	business strategy eg jonker faber to circular policy eg european
2010 Johnson et al 2012 Lehner Mont  Heiskanen 2016 and support sustainability	johnson et al lehner mont heiskanen support sustainability
research on sustainability is a limiting factor Agyeman 2011 Moreover to accelerate the	research sustainability limit factor agyeman moreover to accelerate
Sustainability Origins Present Research and Future Avenues Organization	sustainability origin present research future avenue organization
circular startups or initiatives scale up Recent studies exploring scaling in the circular economy are	circular startup initiative scale up recent study explore scale circular
100 countries with recentlyupdated sustainability targets In their Swedish division a self	country recentlyupdate sustainability target swedish division self
Institute for Systems Sciences Innovation and Sustainability Research	institute for system science innovation sustainability research
Indeed sustainability issue is strictly correlated with VPTs Indeed its presented in 3 out of 5 clusters	indeed sustainability issue strictly correlate vpt indeed its present of cluster
and selfsustainability to the circular business model innovation	selfsustainability to circular business model innovation
The circular economy has also failed to show its full potential so far Will the blockchain help to	circular have also fail to show its full potential blockchain help to
for Business Sustainability South Africa	for business sustainability south africa
Chizaryfard A Trucco P and Nuur C 2021 The transformation to a circular economy framing an	chizaryfard trucco p nuur c transformation to circular frame
Business models circular economy collaborative upscaling recycling	business model circular collaborative upscale recycling
European Union counts on the effects of the circular economy to reach climate neutrality by	european union count effect of circular to reach climate neutrality
Bocken et al 2016 In the context of circular economy this third approach is	bocken et al context of circular third approach
the process will return to recognizing sustainability opportunities and iteratively repeat to develop	process return to recognize sustainability opportunity iteratively repeat to develop
defining the framework and tools to evaluate corporate sustainability	define framework tool to evaluate corporate sustainability
the circularity to the next level a special issue on the circular economy	circularity to next level special issue circular
Schaltegger S Hörisch J  Freeman R E 2019 Business Cases for Sustainability A Stakeholder Theory	schaltegger s hörisch j freeman r e business case for sustainability stakeholder theory
Reike D Vermeulen WJV and Witjes S 2018 The circular economy New or Refurbished as CE 30	reike d vermeulen wjv witjes s circular new refurbish as ce
end digitalization is considered one of the enablers of the circular economy due to its building of	end digitalization consider one of enabler of circular due to its building of
Lewandowski M 2016 Designing the business models for circular economy	lewandowski m design business model for circular
Circular Economy Strategies Database including 45 strategies to be applied to	circular strategy database strategy to apply to
sustainability in circular economy	sustainability circular
Business model Sustainability Institutional logics Hybridity Process study	business model sustainability institutional logic hybridity process study
discourse concerns the circular economy While vague the interviewees see food	discourse concern circular while vague interviewee see food
p 7 provides the most common definition according to which circular economy	p provide most common definition accord to which circular
that stimulate experimentation and scaling of circular business models in an efficient way	stimulate experimentation scaling of circular business model efficient way
circular economy is indicated as one of the important conditions to promote	circular indicate as one of important condition to promote
business model archetypes Journal of Cleaner Production 65 4256	business model archetype journal of clean production
example machine learning artificial intelligence to business models for sustainability and	example machine learn artificial intelligence to business model for sustainability
enable analysis of relation between decisionmaking for sustainability particular corporate	enable analysis of relation decisionmake for sustainability particular corporate
Lacy P  Rutqvist J 2015 Waste to wealth  The circular economy advantage	lacy p rutqvist j waste to wealth circular advantage
argued that the successful implementation of circular economyrelated initiatives	argue successful implementation of circular economyrelate initiative
Organising Business Models for the Circular Economy	organise business model for circular
Circular Business Models Umbrella Concepts ResourceLifeExtending Strategies Scale	circular business model umbrella concept resourcelifeextende strategy scale
business in sustainability transitions	business sustainability transition
enterprises sustainability performance truly closing the loop on sustainability and	enterprise sustainability performance truly close loop sustainability
scale proposal as they are the most relevant sustainability standards and present a large and	scale proposal as most relevant sustainability standard present large
Montabon F Pagell M  Wu Z 2016 Making Sustainability Sustainable Journal of	montabon f pagell m wu z make sustainability sustainable journal of
ensure the sustainability of the development and how to exploit digitalization for its benefit	ensure sustainability of development how to exploit digitalization for its benefit
models Value creation for sustainability Journal of Business Ethics 1661 318	model value creation for sustainability journal of business ethic
Boundaries from a Strategic Sustainability Perspective How Does Humanity	boundary from strategic sustainability perspective how do humanity
healthcare may also support social sustainability by connecting the patient to various peer groups	healthcare also support social sustainability connect patient to various peer group
value logics and the heterogeneity of sustainability business models Long	value logic heterogeneity of sustainability business model long
support a social transition towards strong sustainability by reflecting on	support social transition towards strong sustainability reflect
systems to circular business models can take different shapes Geissdoerfer et al 2020 however	system to circular business model take different shape geissdoerfer et al however
Responsibility focuses on exploring Business Models for the Circular Economy The Special	responsibility focus explore business model for circular special
To fully understand how many keywords within the papers correlate with VPTs and sustainability among	to fully understand how many keyword within paper correlate vpt sustainability among
towards sustainability and circularity We like to receive submissions addressing and	towards sustainability circularity like to receive submission address
assessment for sustainability  Pope Annandale  MorrisonSaunders 2004 According to Bond	assessment for sustainability pope annandale morrisonsaunders accord to bond
Enterprise THRIVE framework and develops THRIVE platform and Sustainability	enterprise thrive framework develop thrive platform sustainability
Development Goals An analysis of sustainability reports from the social entrepreneurship	development goal analysis of sustainability report from social entrepreneurship
Aagaard A LüdekeFreund F  Peter Wells P 2021 Business models for sustainability transitions How	aagaard lüdekefreund f peter wells p business model for sustainability transition how
India Sustainability Science 7 2 199212 doi101007s1162501201637	india sustainability science
Winans K A Kendall  H Deng 2017 The history and current applications of the circular economy concept	winans k kendall h deng history current application of circular concept
This study presents an industrial challenge and establishes that a sustainability	study present industrial challenge establishe sustainability
Basque Country and the Strategic Plan of Gipuzkoa sustainability opportunities economically	basque country strategic plan of gipuzkoa sustainability opportunity economically
Adopting circular business models CBMs ie sustainable business models that focus on closing	adopt circular business model cbms ie sustainable business model focus close
et al 2013 Geissdoerfer et al 2018 To achieve sustainability goal through the big umbrella of	et al geissdoerfer et al to achieve sustainability goal big umbrella of
